Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,04:25 07 Jun,10h 55m,1 stop,No info
IndiGo,12/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,06:20,10:20,4h,1 stop,No info
Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,19:00 22 May,23h 45m,1 stop,In-flight meal not included
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info
Air Asia,24/06/2019,Banglore,Delhi,BLR ? DEL,23:55,02:45 25 Jun,2h 50m,non-stop,No info
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,12:35 13 Jun,18h 20m,1 stop,In-flight meal not included
Air India,12/03/2019,Banglore,New Delhi,BLR ? TRV ? DEL,07:30,22:35,15h 5m,1 stop,No info
IndiGo,1/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,15:15,20:30,5h 15m,1 stop,No info
IndiGo,15/03/2019,Kolkata,Banglore,CCU ? BLR,10:10,12:55,2h 45m,non-stop,No info
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,22:35,6h 5m,1 stop,No info
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? MAA ? BOM ? COK,13:55,18:50 22 Mar,28h 55m,2 stops,In-flight meal not included
IndiGo,15/06/2019,Delhi,Cochin,DEL ? HYD ? COK,06:50,16:10,9h 20m,1 stop,No info
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,10:25,4h 40m,1 stop,No info
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,12:35 04 Jun,17h 20m,1 stop,In-flight meal not included
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,08:15 07 Mar,10h 50m,1 stop,No info
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info
Vistara,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:55,22:10,12h 15m,1 stop,No info
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,04:25 13 Jun,9h 10m,1 stop,In-flight meal not included
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,22:55,08:15 13 Mar,9h 20m,1 stop,No info
IndiGo,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:45,01:35 07 Mar,14h 50m,1 stop,No info
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05 10 May,14h 5m,1 stop,In-flight meal not included
Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,09:00 16 Mar,11h 35m,1 stop,In-flight meal not included
Jet Airways,9/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included
Air India,6/04/2019,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,04:25 22 Mar,12h 25m,1 stop,In-flight meal not included
